Sale ID,Date,Brand,Model,Price,Quantity,Total Sales,Customer Age,Gender,City,Payment Method,Storage,RAM,Rating
MS0447,45658,Xiaomi,Xiaomi 14,66999,3,200997,20,Female,Tumakuru,Credit Card,128 GB,8 GB,3.3
MS0264,45659,OnePlus,Nord 3,31999,2,63998,25,Male,Dharwad,Debit Card,128 GB,6 GB,3.6
MS0207,45659,Samsung,Galaxy M35,19999,3,59997,26,Male,Belagavi,UPI,128 GB,12 GB,3.4
MS0064,45659,Oppo,A79,17999,2,35998,40,Female,Bengaluru,Credit Card,128 GB,8 GB,4.2
MS0497,45661,OnePlus,OnePlus 12R,42999,1,42999,54,Female,Dharwad,UPI,256 GB,6 GB,4.2
MS0326,45661,Vivo,Y200,22499,1,22499,42,Female,Shivamogga,UPI,128 GB,12 GB,3.6
MS0129,45662,Apple,iPhone 15 Plus,78999,1,78999,25,Female,Mysuru,Cash,128 GB,8 GB,3.9
MS0416,45662,Realme,Narzo 70,13999,1,13999,53,Female,Dharwad,Debit Card,256 GB,12 GB,3.9
MS0335,45663,Oppo,A79,15999,1,15999,33,Male,Davangere,Credit Card,128 GB,8 GB,4
MS0098,45666,Xiaomi,Redmi Note 13,13999,1,13999,37,Female,Hubballi,UPI,128 GB,8 GB,3.8
MS0270,45666,Oppo,Reno 11 Pro,38999,1,38999,48,Female,Hubballi,EMI,128 GB,12 GB,4.4
MS0485,45667,Apple,iPhone 14,57999,1,57999,51,Female,Dharwad,UPI,512 GB,8 GB,4.9
MS0152,45670,OnePlus,OnePlus 12R,41499,1,41499,48,Male,Hassan,Debit Card,128 GB,6 GB,4.1
MS0379,45670,Oppo,Reno 11,28999,1,28999,32,Female,Davangere,Cash,256 GB,8 GB,4.3
MS0051,45671,Samsung,Galaxy M35,19499,1,19499,46,Female,Tumakuru,UPI,512 GB,8 GB,3.4
MS0135,45672,Realme,12 Pro+,27999,2,55998,26,Female,Shivamogga,Credit Card,128 GB,8 GB,4.8
MS0093,45672,OnePlus,OnePlus 12R,42999,1,42999,51,Male,Hassan,EMI,256 GB,6 GB,4.6
MS0498,45673,Oppo,F25 Pro,23499,1,23499,40,Male,Davangere,EMI,512 GB,16 GB,3.8
MS0330,45674,OnePlus,Nord CE 4,24499,1,24499,21,Male,Mangaluru,Debit Card,256 GB,12 GB,3.2
MS0353,45675,Apple,iPhone 15 Plus,79499,1,79499,51,Female,Belagavi,Cash,128 GB,8 GB,3.3
MS0384,45677,Xiaomi,Redmi Note 13,15499,1,15499,54,Male,Bengaluru,UPI,128 GB,8 GB,4.8
MS0045,45678,Oppo,Reno 11,26999,1,26999,23,Female,Hubballi,Debit Card,128 GB,6 GB,4.6
MS0007,45678,Vivo,Y200,23999,1,23999,36,Female,Shivamogga,Cash,512 GB,16 GB,4.2
MS0308,45679,Realme,12 Pro,22999,1,22999,44,Female,Hubballi,Cash,256 GB,8 GB,3.6
MS0026,45679,Vivo,Y28,13999,2,27998,34,Female,Mangaluru,EMI,512 GB,8 GB,3.8
MS0483,45680,Realme,GT 6,40999,1,40999,42,Female,Tumakuru,Debit Card,128 GB,6 GB,4.4
MS0376,45683,Realme,12 Pro+,29999,1,29999,26,Female,Mangaluru,Credit Card,128 GB,8 GB,3.4
MS0317,45684,Vivo,V30,33499,2,66998,42,Male,Belagavi,EMI,128 GB,8 GB,4.1
MS0165,45685,Samsung,Galaxy S24,63999,1,63999,27,Male,Mangaluru,Cash,128 GB,6 GB,4.1
MS0110,45685,Apple,iPhone 14,59999,3,179997,20,Female,Davangere,Debit Card,256 GB,6 GB,3.3
MS0150,45686,Oppo,Reno 11,26999,1,26999,33,Female,Mangaluru,Debit Card,512 GB,12 GB,4.4
MS0115,45690,Vivo,Y200,22499,1,22499,37,Female,Belagavi,UPI,128 GB,16 GB,3.7
MS0306,45690,Samsung,Galaxy S24,63499,1,63499,53,Male,Bengaluru,Credit Card,128 GB,12 GB,3.5
MS0327,45692,Xiaomi,Xiaomi 14,69499,1,69499,46,Male,Hubballi,Credit Card,128 GB,8 GB,3.2
MS0059,45692,Xiaomi,Redmi Note 13,16999,1,16999,24,Male,Tumakuru,UPI,256 GB,8 GB,3.6
MS0124,45692,Samsung,Galaxy M35,19999,2,39998,21,Male,Bengaluru,Debit Card,512 GB,12 GB,4.4
MS0151,45693,Apple,iPhone 13,48999,1,48999,32,Female,Mangaluru,Credit Card,128 GB,12 GB,3.2
MS0382,45693,Vivo,V30 Pro,45999,1,45999,19,Male,Tumakuru,Cash,256 GB,12 GB,3.6
MS0338,45694,Oppo,A79,17999,1,17999,29,Male,Tumakuru,UPI,128 GB,8 GB,3.9
MS0268,45694,Samsung,Galaxy A35,26999,1,26999,48,Male,Mysuru,Credit Card,128 GB,6 GB,4.3
MS0311,45695,Realme,GT 6,38999,1,38999,55,Male,Belagavi,Debit Card,256 GB,6 GB,3.9
MS0373,45696,Oppo,A79,15999,2,31998,21,Female,Davangere,UPI,128 GB,16 GB,3.2
MS0250,45696,Realme,12 Pro,24499,1,24499,51,Male,Shivamogga,Cash,128 GB,6 GB,3.5
MS0477,45696,OnePlus,Nord CE 4,24999,1,24999,25,Female,Dharwad,Cash,256 GB,8 GB,3.8
MS0091,45698,Realme,12 Pro+,29999,1,29999,47,Male,Mysuru,Cash,256 GB,12 GB,3.7
MS0109,45698,Apple,iPhone 14,56999,1,56999,25,Male,Belagavi,EMI,256 GB,8 GB,4.2
MS0137,45699,Apple,iPhone 15,68999,1,68999,52,Female,Mysuru,UPI,128 GB,6 GB,3.2
MS0167,45701,Xiaomi,Redmi Note 13 Pro,24499,2,48998,47,Female,Hassan,Cash,128 GB,12 GB,4.4
MS0071,45701,Apple,iPhone 15,67999,1,67999,26,Female,Bengaluru,UPI,128 GB,8 GB,4
MS0161,45702,Samsung,Galaxy M35,18999,2,37998,22,Female,Bengaluru,EMI,128 GB,6 GB,4.5
MS0334,45703,Apple,iPhone 13,46999,1,46999,29,Female,Dharwad,Debit Card,128 GB,8 GB,4.8
MS0471,45704,Samsung,Galaxy S24,63999,1,63999,23,Male,Davangere,Debit Card,128 GB,8 GB,4.5
MS0422,45704,Oppo,Reno 11 Pro,38999,2,77998,37,Male,Hassan,UPI,256 GB,12 GB,3.9
MS0453,45705,Realme,12 Pro+,28499,1,28499,29,Male,Mysuru,UPI,256 GB,12 GB,3.8
MS0116,45705,Vivo,V30,33499,2,66998,53,Male,Belagavi,Debit Card,256 GB,8 GB,3.8
MS0329,45706,Xiaomi,Redmi Note 13,13999,1,13999,30,Male,Dharwad,Cash,512 GB,8 GB,3.8
MS0030,45706,Oppo,F25 Pro,22999,1,22999,34,Female,Mangaluru,UPI,128 GB,8 GB,5
MS0062,45707,Apple,iPhone 14,57999,2,115998,36,Female,Mysuru,Credit Card,512 GB,8 GB,3.8
MS0314,45708,Apple,iPhone 15,69999,1,69999,24,Male,Dharwad,Cash,128 GB,8 GB,4.5
MS0395,45708,OnePlus,OnePlus 12R,42999,3,128997,21,Male,Mangaluru,UPI,256 GB,8 GB,4.4
MS0037,45708,Xiaomi,Poco X6,21999,1,21999,45,Male,Mangaluru,UPI,128 GB,12 GB,4.7
MS0198,45709,Vivo,V30 Pro,45999,2,91998,48,Male,Belagavi,Debit Card,256 GB,6 GB,3.3
MS0143,45709,Apple,iPhone 13,46999,1,46999,33,Female,Shivamogga,Cash,128 GB,8 GB,4.6
MS0413,45710,Samsung,Galaxy M35,19999,1,19999,37,Female,Shivamogga,EMI,128 GB,12 GB,3.8
MS0086,45710,Apple,iPhone 14,56999,1,56999,45,Male,Shivamogga,Debit Card,512 GB,12 GB,4.7
MS0216,45710,Samsung,Galaxy S24,63999,2,127998,25,Male,Mangaluru,Cash,128 GB,8 GB,4
MS0055,45710,Realme,12 Pro,23499,1,23499,38,Male,Belagavi,UPI,512 GB,6 GB,3.9
MS0356,45711,Xiaomi,Xiaomi 14,67999,1,67999,41,Male,Tumakuru,Credit Card,256 GB,12 GB,4.3
MS0410,45711,Samsung,Galaxy M35,16999,1,16999,48,Male,Tumakuru,UPI,128 GB,6 GB,4.3
MS0210,45711,Realme,12 Pro,24999,1,24999,47,Female,Hubballi,Debit Card,512 GB,12 GB,4.1
MS0065,45711,Vivo,V30,33499,1,33499,21,Female,Davangere,EMI,128 GB,8 GB,3.2
